"New_Client_Id_Client";"sending_date_group";"is_opened_retreated";"is_clicked";"mailing_id";"email_id";"min_sending_date";"email_count"
294381;2023-01-27;FALSE;FALSE;"3389";"2126960";2023-01-27;1
294390;2023-02-08;TRUE;FALSE;"3389";"2260383";2023-02-08;1
294396;2019-05-11;TRUE;TRUE;"12";"1371849";2019-05-11;1
294398;2023-01-27;FALSE;FALSE;"3389";"1946295";2023-01-27;1
294398;2023-07-14;FALSE;FALSE;"3980";"1946295";2023-07-14;1
294399;2020-01-21;FALSE;FALSE;"12;13";"1485764";2020-01-21;2
294399;2021-09-17;TRUE;FALSE;"37;38";"1485764";2021-09-17;2
294400;2020-08-09;FALSE;FALSE;"12;13";"1740581";2020-08-09;2
294401;2020-05-19;FALSE;FALSE;"12";"1516177";2020-05-19;1
294401;2020-05-23;FALSE;FALSE;"13";"1516177";2020-05-23;1
294409;2018-11-15;TRUE;TRUE;"37;38";"177935";2018-11-15;2
294409;2019-03-28;TRUE;TRUE;"37";"177935";2019-03-28;1
294415;2022-06-11;TRUE;FALSE;"2823";"2145187";2022-06-11;1
294415;2022-07-08;TRUE;TRUE;"3151";"2145187";2022-07-08;1
294415;2022-11-29;TRUE;TRUE;"3389";"2145187";2022-11-29;1
294417;2020-01-30;TRUE;FALSE;"12;13";"1487607";2020-01-30;2
294430;2021-12-24;FALSE;FALSE;"2812";"2069826";2021-12-24;1
294433;2020-09-25;TRUE;FALSE;"14;15";"1753446";2020-09-25;2
294438;2019-01-19;FALSE;FALSE;"39;40";"1149666";2019-01-19;2
294438;2019-02-14;TRUE;FALSE;"39;40";"1149666";2019-02-14;2
294438;2020-09-24;TRUE;TRUE;"39;40";"1149666";2020-09-24;2
294438;2022-07-06;TRUE;FALSE;"3151";"1149666";2022-07-06;1
294438;2022-11-09;TRUE;FALSE;"3389";"1149666";2022-11-09;1
294439;2019-01-06;FALSE;FALSE;"37;38";"1315291";2019-01-06;2
294439;2021-02-22;FALSE;FALSE;"37;38";"1315291";2021-02-22;2
294439;2022-12-23;TRUE;FALSE;"3389";"1315291";2022-12-23;1
294443;2023-02-24;TRUE;FALSE;"3389";"1190122";2023-02-24;1
294449;2020-06-28;TRUE;FALSE;"12;13";"1532568";2020-06-28;2
294449;2021-02-26;TRUE;FALSE;"37;38";"1532568";2021-02-26;2
294450;2018-11-30;FALSE;FALSE;"12;13";"1313314";2018-11-30;2
294459;2020-08-09;FALSE;FALSE;"12;13";"1740503";2020-08-09;2
294462;2023-01-27;FALSE;FALSE;"3389";"1266527";2023-01-27;1
294465;2019-04-20;TRUE;FALSE;"12;13";"1367120";2019-04-20;2
294468;2022-01-11;TRUE;FALSE;"2823";"2085146";2022-01-11;1
294468;2022-01-21;TRUE;FALSE;"2812";"2085146";2022-01-21;1
294468;2022-12-16;TRUE;TRUE;"3389";"2085146";2022-12-16;1
294474;2020-07-16;TRUE;TRUE;"14;15";"1722154";2020-07-16;2
294475;2020-08-28;TRUE;FALSE;"37;38";"520326";2020-08-28;2
294477;2021-10-14;TRUE;FALSE;"2105";"2020859";2021-10-14;1
